客户ID,交易日期,产品类别,销售额,客户评分,地区,交易状态,利润
CUST01078,2023-04-18,Electronics,165.69,4.0,North,Refunded,25.52
CUST01079,2023-12-10,Books,13.67,1.0,North,Completed,4.78
CUST01080,2023-05-17,Clothing,114.02,,Central,Pending,34.2
CUST01081,2023-12-26,Electronics,227.82,2.0,West,Completed,27.26
CUST01082,2023-12-16,Clothing,874.34,3.0,West,Failed,114.65
CUST01083,2023-11-28,Food,79.68,2.0,East,Completed,9.37
CUST01084,2023-02-06,Electronics,56.25,1.0,Central,Refunded,19.72
CUST01085,2023-11-08,Clothing,81.28,1.0,east,Completed,32.98
CUST01086,2023-11-22,Home,445.18,2.0,West,Completed,101.88
CUST01087,2023-03-29,Food,220.19,1.0,South,Refunded,40.46
CUST01088,2023-10-01,Clothing,78.59,5.0,south,Completed,14.51
CUST01089,2023-05-06,Clothing,274.77,4.0,North,Completed,66.05
CUST01090,2023-03-25,Electronics,166.75,2.0,West,Completed,66.91
CUST01091,2023-08-25,Electronics,474.55,2.0,Central,Pending,108.1
CUST01092,2023-07-14,Clothing,63.91,2.0,Central,Completed,11.53
CUST01093,2023-05-19,Food,100.16,1.0,Central,Completed,37.12
CUST01094,2023-11-24,Electronics,92.71,3.0,West,Completed,10.89
CUST01095,2023-12-19,Electronics,25.63,4.0,South,Completed,9.15
CUST01096,2023-10-13,Electronics,211.74,2.0,Central,Pending,60.6
CUST01097,2023-04-23,Food,203.01,1.0,West,Completed,50.71
CUST01098,2023-12-17,Electronics,149.33,1.0,East,Completed,32.84
CUST01099,2023-06-16,Home,112.0,2.0,East,Completed,29.09
